Date,Name,Year,Letterboxd URI,Rating
2022-01-26,The Amazing Spider-Man,2012,https://boxd.it/27PI,1
2022-01-26,Captain America: The Winter Soldier,2014,https://boxd.it/3r58,2
2022-01-26,Ant-Man,2015,https://boxd.it/3vmW,2
2022-01-26,Spider-Man: Homecoming,2017,https://boxd.it/aboM,3
2022-01-26,WandaVision,2021,https://boxd.it/sbGW,2.5
2022-01-26,Loki,2021,https://boxd.it/sbHg,3
2022-01-26,Pig,2021,https://boxd.it/nzoW,3.5
2022-01-26,Hawkeye,2021,https://boxd.it/xQqK,3
2022-01-26,Shrek 2,2004,https://boxd.it/29z8,4
2022-01-26,Last Night in Soho,2021,https://boxd.it/lbJC,3
2022-01-26,Anchorman: The Legend of Ron Burgundy,2004,https://boxd.it/1ZVo,3
2022-01-26,Midnight Mass,2021,https://boxd.it/wvVA,4
2022-01-26,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY,4.5
2022-01-26,Raiders of the Lost Ark,1981,https://boxd.it/2bbs,5
2022-01-26,Batman,1989,https://boxd.it/2aIU,4
2022-01-26,Nobody,2021,https://boxd.it/mLqS,3.5
2022-01-26,The Power of the Dog,2021,https://boxd.it/m99E,3.5
2022-01-26,Bohemian Rhapsody,2018,https://boxd.it/f1TK,3
2022-01-26,The Martian,2015,https://boxd.it/8SeG,3
2022-01-26,Logan,2017,https://boxd.it/7Piy,4
2022-01-26,Rogue One: A Star Wars Story,2016,https://boxd.it/aPvy,3
2022-01-26,Star Wars: The Last Jedi,2017,https://boxd.it/5xme,2.5
2022-01-26,It,2017,https://boxd.it/bC8e,3.5
2022-01-26,Guardians of the Galaxy Vol. 2,2017,https://boxd.it/8MxC,3.5
2022-01-26,Star Wars: The Force Awakens,2015,https://boxd.it/4vru,3.5
2022-01-26,A Quiet Place,2018,https://boxd.it/fVJQ,2.5
2022-01-26,Hereditary,2018,https://boxd.it/hNVe,3.5
2022-01-26,Uncut Gems,2019,https://boxd.it/gXGc,5
2022-01-26,Get Out,2017,https://boxd.it/eOCm,4
2022-01-26,Moonrise Kingdom,2012,https://boxd.it/2Wng,4
2022-01-26,Star Wars: The Rise of Skywalker,2019,https://boxd.it/5xlK,0.5
2022-01-26,Split,2016,https://boxd.it/dgSy,3.5
2022-01-26,Deadpool 2,2018,https://boxd.it/dlLM,3
2022-01-26,Suicide Squad,2016,https://boxd.it/9row,0.5
2022-01-26,Kingsman: The Secret Service,2014,https://boxd.it/6dxe,4
2022-01-26,The Hunger Games,2012,https://boxd.it/2uds,1.5
2022-01-26,Snowpiercer,2013,https://boxd.it/3Icg,4
2022-01-26,Venom,2018,https://boxd.it/b8wA,2
2022-01-26,Toy Story 4,2019,https://boxd.it/9ALu,3.5
2022-01-26,Big Hero 6,2014,https://boxd.it/5rje,3
2022-01-26,Ready Player One,2018,https://boxd.it/aZes,2
2022-01-26,The Imitation Game,2014,https://boxd.it/6aig,3.5
2022-01-26,What We Do in the Shadows,2014,https://boxd.it/7eQy,4
2022-01-26,The Amazing Spider-Man 2,2014,https://boxd.it/3utM,1.5
2022-01-26,Bird Box,2018,https://boxd.it/eh1i,1.5
2022-01-26,John Wick: Chapter 2,2017,https://boxd.it/ayGu,3.5
2022-01-26,John Wick: Chapter 3 – Parabellum,2019,https://boxd.it/gmFw,3.5
2022-01-26,Now You See Me,2013,https://boxd.it/2Bsu,2.5
2022-01-26,Wreck-It Ralph,2012,https://boxd.it/2TTS,3.5
2022-01-26,Jumanji: Welcome to the Jungle,2017,https://boxd.it/bUeE,1.5
2022-01-26,Edge of Tomorrow,2014,https://boxd.it/4pD0,3
2022-01-26,The Platform,2019,https://boxd.it/mUm6,3.5
2022-01-26,Monsters University,2013,https://boxd.it/bQm,2.5
2022-01-26,X-Men: First Class,2011,https://boxd.it/FOA,2.5
2022-01-26,World War Z,2013,https://boxd.it/2p2E,1.5
2022-01-26,The Ballad of Buster Scruggs,2018,https://boxd.it/jB2q,4
2022-01-26,Kingsman: The Golden Circle,2017,https://boxd.it/buJm,3
2022-01-26,Glass,2019,https://boxd.it/g3uO,2.5
2022-01-26,The World's End,2013,https://boxd.it/3EiO,5
2022-01-26,Shaun of the Dead,2004,https://boxd.it/29J8,5
2022-01-26,Creed,2015,https://boxd.it/a2qk,3.5
2022-01-26,Rocky II,1979,https://boxd.it/28Ua,4
2022-01-26,Creed II,2018,https://boxd.it/hgl8,3.5
2022-01-26,Rocky IV,1985,https://boxd.it/28T2,3.5
2022-01-26,Rocky III,1982,https://boxd.it/28Tw,3
2022-01-26,Rocky V,1990,https://boxd.it/28SS,1.5
2022-01-26,Rocky Balboa,2006,https://boxd.it/291q,2
2022-01-26,The Man from U.N.C.L.E.,2015,https://boxd.it/67lG,3
2022-01-26,The Purge,2013,https://boxd.it/4Xg0,3
2022-01-26,Contagion,2011,https://boxd.it/13rq,3.5
2022-01-26,Cars 2,2011,https://boxd.it/H4Y,0.5
2022-01-26,Now You See Me 2,2016,https://boxd.it/99fw,2.5
2022-01-26,Ghostbusters,2016,https://boxd.it/Vm8,0.5
2022-01-26,The Raid,2011,https://boxd.it/3hBy,5
2022-01-26,The Adventures of Tintin,2011,https://boxd.it/1Irc,3
2022-01-26,Kung Fu Panda 2,2011,https://boxd.it/G36,3
2022-01-26,Despicable Me 2,2013,https://boxd.it/3gg0,2
2022-01-26,T2 Trainspotting,2017,https://boxd.it/5vTA,4
2022-01-26,Minions,2015,https://boxd.it/6jCO,1.5
2022-01-26,Men in Black 3,2012,https://boxd.it/103U,4
2022-01-26,Dredd,2012,https://boxd.it/GZE,3.5
2022-01-26,TRON: Legacy,2010,https://boxd.it/1Dlo,2.5
2022-01-26,"Black Mirror: Rachel, Jack and Ashley Too",2019,https://boxd.it/mltQ,0.5
2022-01-26,Black Mirror: Smithereens,2019,https://boxd.it/mltc,2
2022-01-26,Black Mirror: Bandersnatch,2018,https://boxd.it/kTDG,4
2022-01-26,Black Mirror: Black Museum,2017,https://boxd.it/hRqu,2.5
2022-01-26,Black Mirror: Metalhead,2017,https://boxd.it/hRqk,1.5
2022-01-26,Black Mirror: Hang the DJ,2017,https://boxd.it/hQYA,2.5
2022-01-26,Black Mirror: Crocodile,2017,https://boxd.it/hRoS,2.5
2022-01-26,Black Mirror: Arkangel,2017,https://boxd.it/hQXW,2.5
2022-01-26,Black Mirror: USS Callister,2017,https://boxd.it/hQXi,3
2022-01-26,Black Mirror: Hated in the Nation,2016,https://boxd.it/hSBI,3
2022-01-26,Black Mirror: Men Against Fire,2016,https://boxd.it/hSBS,3
2022-01-26,Black Mirror: San Junipero,2016,https://boxd.it/k4aS,2
2022-01-26,Black Mirror: Playtest,2016,https://boxd.it/hRR6,2.5
2022-01-26,Black Mirror: Nosedive,2016,https://boxd.it/hK9G,2.5
2022-01-26,Black Mirror: White Christmas,2014,https://boxd.it/B3qu,5
2022-01-26,Black Mirror: The Waldo Moment,2013,https://boxd.it/hRpQ,2.5
2022-01-26,Black Mirror: The National Anthem,2011,https://boxd.it/hQYK,3
